FR_new	EN_new	DE_new	ES_new	NL_new	SV_new	IT_new	PT_new	RO_new	PL_new	SL_new	CS_new	RU_new	BG_new	ET_new	FI_new	HU_new	NO_new
NA	NA	NA	NA	NA	NA	NA	NA	face_sa_V	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	face_sa_V	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	lasa_sa_V_Trans_Refl	NA	dovoliti_da_Clause_Trans_Refl	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	dawac_V	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V_Trans	NA	NA	NA	NA	NA	fare_V_Trans	NA	NA	NA	NA	dat_V_Trans	NA	NA	NA	NA	NA	NA
faire_V_Trans_Refl	have_Ved_Trans	lassen_V_Trans_Refl	NA	NA	NA	fare_V_Trans_Refl	NA	NA	NA	dati_V_Trans_Refl	dat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
faire_V	NA	lassen_V_ClauseComp	hacer_V_ClauseComp	NA	NA	fare_V_ClauseComp	NA	face_sa_V_ClauseComp	NA	NA	NA	NA	NA	panema_Vma_ClauseComp	NA	NA	la_V_ClauseComp
laisser_V	let_V	lassen_V	dejar_V	laten_V	lata_V	fare_V	NA	NA	NA	NA	nechat_V_Trans	NA	ostavjam_da_Clause	laskma_Vda	antaa_V1st	hagy_V	la_V
faire_V	NA	NA	NA	NA	NA	fare_V	fazer_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	fare_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V_Trans_Refl	NA	NA	NA	NA	NA	fare_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	make_V	lassen_V	NA	doen_V	fa_att_V	NA	NA	NA	NA	NA	NA	NA	karam_da_Clause	NA	saada_Villative	NA	fa_til_a_V
